video_id,jogo,titulo,canal,data,visualizacoes,likes,comentarios,plataforma
jMi9pzZsJB4,Dead by Daylight,5 Most BORING Killers in Dead by Daylight,Kyto,2023-03-07T23:37:20Z,9326267,329239,3285,YouTube
P0imDbkxUrI,Dead by Daylight,DESTROYING STREAMER WITH LOCKERS AND FLASHBANGS - Dead By Daylight #dbd #dbdstreamer #dbdstream,ZODIKER ,2024-08-24T05:51:20Z,9593305,278602,702,YouTube
MxlSdJPfcuQ,Dead by Daylight,PLAYING AS THE DEMOGORGON HUNTING STEVE AND NANCY | Dead by Daylight Stranger Things Gameplay (DBD),FusionZGamer,2019-09-04T19:54:30Z,8302365,178366,25810,YouTube
YZPwLV1PkJA,Dead by Daylight,EVERY Killer Pallet Break Animation #dbd,WarbyGaming,2024-07-01T17:45:02Z,9759004,360139,2451,YouTube
pYhgrs0tt0A,Dead by Daylight,Dead Island VS Dying Light: Exploding Zombies,GameLight,2023-05-03T06:30:12Z,7821431,184454,1492,YouTube
lzWJox9_We8,Dead by Daylight,Jake&#39;s Totally Real Techs in Dead by Daylight #gaming #meme #animation #dbdmemes,RABLATS,2024-08-19T16:37:06Z,9004887,366423,2750,YouTube
Qdh8zLcIiCk,Dead by Daylight,How to GET HATCH from Wesker in Dead by Daylight #gaming #meme #animation #dbdmemes #dbdmeme #memes,RABLATS,2024-10-02T16:02:40Z,10836769,342954,1556,YouTube
2b4zap6Zmkk,Dead by Daylight,The Knight MORI survivor pov #dbd #dbdshorts #dbdnewupdate #deadbydaylightsurvivor #dead_by_daylight,Tired clips,2022-11-01T17:00:38Z,6780644,134549,1007,YouTube
nudDW6PhihM,Dead by Daylight,"DBD Indonesia - TBag, Main Gitar, Jadi Killer?",MILYHYA,2024-08-31T13:45:07Z,5853666,138084,3514,YouTube
rCfcWopcD2g,Dead by Daylight,i think he felt disrespected 😭 #dbd #dbdshorts #deadbydaylight #shorts #dbdmemes #fnaf,Your Dad’s Muse,2025-06-20T19:43:56Z,9918440,523784,2539,YouTube
QDDchw8lPjU,Dead by Daylight,NEW DBD KILLER is HORRIFYING #dbd,Bubbell,2024-03-03T20:30:01Z,5384019,336509,3186,YouTube
UOv3_DsJhLA,Dead by Daylight,Which Springtrap Jump Scare Sounds Better?,DStrike,2025-06-05T08:00:37Z,11222698,248457,4982,YouTube
px8rQZHknx4,Dead by Daylight,Which Springtrap Cosmetic Has The Best Jump Scare?,DStrike,2025-06-17T19:30:18Z,9318378,249703,3601,YouTube
p9K3h6OMLT0,Dead by Daylight,UNKNOWN Predicted the FUTURE!  #dbd  #deadbydaylight,AZHYMOVS,2025-06-04T14:01:19Z,6936799,306799,1476,YouTube
1juCTSz1kgc,Dead by Daylight,LET&#39;S PLAY DEAD BY DAYLIGHT | UJJWAL,Ujjwal,2022-07-29T11:21:23Z,3937021,152438,5051,YouTube
Shw36hgCTx8,Dead by Daylight,How the Entity Rewards the Killers in DbD  #dbd #deadbydaylight,AZHYMOVS,2025-10-22T14:00:58Z,7352729,290113,1052,YouTube
tZeeJjqshRg,Dead by Daylight,5 Most FUN Killers in Dead by Daylight,Kyto,2023-02-12T05:38:50Z,4103463,191472,2473,YouTube
iowkiPobYYQ,Dead by Daylight,Dead by Daylight | All-Kill | Official Trailer,Dead by Daylight,2021-03-30T16:00:01Z,3577136,100117,6991,YouTube
TsNOnL9Jgxc,Dead by Daylight,SCARING TWITCH STREAMERS W/ GHOSTFACE | Dead By Daylight,SpookyLoopz,2021-10-22T15:00:04Z,3561770,116141,1514,YouTube
B7Yxnx8_U7c,Dead by Daylight,Rob hunts Rosie in real life Dead by Daylight,PlayStation Access,2023-09-09T10:00:08Z,4098020,206445,713,YouTube
o-tgQl_jUIE,Dead by Daylight,The WORST Killers Get The Best Skins In Dead By Daylight,Mauvasa,2025-01-23T21:30:04Z,4598218,170577,2116,YouTube
x72YTpQ4EwE,Dead by Daylight,DYING LIGHT Gameplay Walkthrough Part 1 FULL GAME [4K 60FPS PC ULTRA] - No Commentary,MKIceAndFire,2022-02-01T02:18:24Z,2958020,30094,1245,YouTube
RikXPc1cmdI,Dead by Daylight,These Cosmetics Are Pay To LOSE For Killers In Dead By Daylight,Mauvasa,2025-02-25T22:30:05Z,4722686,164461,1446,YouTube
X_n5zFNzGBU,Dead by Daylight,"ON L&#39;A LAISSÉ TOMBER ! (ft. Doigby, Locklear, AlphaCast)",SQUEEZIE GAMING,2019-03-30T12:00:05Z,2753790,106050,2164,YouTube
vlu_upqMcA8,Dead by Daylight,Top 5 Easiest Killers in DbD  #dbd #deadbydaylight,AZHYMOVS,2025-08-14T14:01:26Z,3703074,94838,833,YouTube
