jogo,id,plataforma
League of Legends,21779,Twitch
Grand Theft Auto V,32982,Twitch
Dota 2,29595,Twitch
Counter-Strike,32399,Twitch
Rocket League,30921,Twitch
World of Warcraft,18122,Twitch
Minecraft,27471,Twitch
Forza Horizon 6,1991115310,Twitch
VALORANT,516575,Twitch
Subnautica 2,723826053,Twitch
Fortnite,33214,Twitch
QSMP,1422023940,Twitch
Slots,498566,Twitch
Apex Legends,511224,Twitch
Deep Rock Galactic: Rogue Core,1894871944,Twitch
EA Sports FC 26,624536948,Twitch
Dead by Daylight,491487,Twitch
Overwatch,515025,Twitch
