jogo,titulo,canal,data,plataforma
Dead by Daylight,RUN FOR YOUR LIFE | Dead By Daylight,jacksepticeye,2016-06-18T16:00:01Z,YouTube
Dead by Daylight,5 Most BORING Killers in Dead by Daylight,Kyto,2023-03-07T23:37:20Z,YouTube
Dead by Daylight,DESTROYING STREAMER WITH LOCKERS AND FLASHBANGS - Dead By Daylight #dbd #dbdstreamer #dbdstream,ZODIKER ,2024-08-24T05:51:20Z,YouTube
Dead by Daylight,PLAYING AS THE DEMOGORGON HUNTING STEVE AND NANCY | Dead by Daylight Stranger Things Gameplay (DBD),FusionZGamer,2019-09-04T19:54:30Z,YouTube
Dead by Daylight,Dead by Daylight | Launch Trailer,Dead by Daylight,2016-06-13T17:12:30Z,YouTube
Dead by Daylight,EVERY Killer Pallet Break Animation #dbd,WarbyGaming,2024-07-01T17:45:02Z,YouTube
Dead by Daylight,Dead Island VS Dying Light: Exploding Zombies,GameLight,2023-05-03T06:30:12Z,YouTube
Dead by Daylight,Jake&#39;s Totally Real Techs in Dead by Daylight #gaming #meme #animation #dbdmemes,RABLATS,2024-08-19T16:37:06Z,YouTube
Dead by Daylight,How to GET HATCH from Wesker in Dead by Daylight #gaming #meme #animation #dbdmemes #dbdmeme #memes,RABLATS,2024-10-02T16:02:40Z,YouTube
Dead by Daylight,The Knight MORI survivor pov #dbd #dbdshorts #dbdnewupdate #deadbydaylightsurvivor #dead_by_daylight,Tired clips,2022-11-01T17:00:38Z,YouTube
Dead by Daylight,"DBD Indonesia - TBag, Main Gitar, Jadi Killer?",MILYHYA,2024-08-31T13:45:07Z,YouTube
Dead by Daylight,i think he felt disrespected 😭 #dbd #dbdshorts #deadbydaylight #shorts #dbdmemes #fnaf,Your Dad’s Muse,2025-06-20T19:43:56Z,YouTube
Dead by Daylight,This is why you don&#39;t main Trapper,not Otzdarva,2021-08-03T15:04:07Z,YouTube
Dead by Daylight,NEW DBD KILLER is HORRIFYING #dbd,Bubbell,2024-03-03T20:30:01Z,YouTube
Dead by Daylight,Which Springtrap Jump Scare Sounds Better?,DStrike,2025-06-05T08:00:37Z,YouTube
Dead by Daylight,Which Springtrap Cosmetic Has The Best Jump Scare?,DStrike,2025-06-17T19:30:18Z,YouTube
Dead by Daylight,SCARRED FOR LIFE!! | Dead By Daylight #1,Markiplier,2016-07-21T19:00:00Z,YouTube
Dead by Daylight,UNKNOWN Predicted the FUTURE!  #dbd  #deadbydaylight,AZHYMOVS,2025-06-04T14:01:19Z,YouTube
Dead by Daylight,LET&#39;S PLAY DEAD BY DAYLIGHT | UJJWAL,Ujjwal,2022-07-29T11:21:23Z,YouTube
Dead by Daylight,How the Entity Rewards the Killers in DbD  #dbd #deadbydaylight,AZHYMOVS,2025-10-22T14:00:58Z,YouTube
Dead by Daylight,5 Most FUN Killers in Dead by Daylight,Kyto,2023-02-12T05:38:50Z,YouTube
Dead by Daylight,Rob hunts Rosie in real life Dead by Daylight,PlayStation Access,2023-09-09T10:00:08Z,YouTube
Dead by Daylight,The WORST Killers Get The Best Skins In Dead By Daylight,Mauvasa,2025-01-23T21:30:04Z,YouTube
Dead by Daylight,DYING LIGHT Gameplay Walkthrough Part 1 FULL GAME [4K 60FPS PC ULTRA] - No Commentary,MKIceAndFire,2022-02-01T02:18:24Z,YouTube
Dead by Daylight,I Attempted The WORST Achievement in Dead By Daylight...,Demi,2023-03-23T12:00:05Z,YouTube
World of Warcraft,World of Warcraft: Warlords of Draenor Cinematic,World of Warcraft,2014-08-14T17:17:46Z,YouTube
World of Warcraft,World of Warcraft: Battle for Azeroth Cinematic Trailer,World of Warcraft,2017-11-03T19:10:41Z,YouTube
World of Warcraft,Leeroy Jenkins HD 1080p,J Jonah Jameson,2014-06-11T07:30:48Z,YouTube
World of Warcraft,World of Warcraft: Wrath of the Lich King Cinematic Trailer,World of Warcraft,2010-01-23T02:31:56Z,YouTube
World of Warcraft,World of Warcraft: Cataclysm Cinematic Trailer,World of Warcraft,2010-10-17T18:36:57Z,YouTube
World of Warcraft,World of Warcraft: Mists of Pandaria Cinematic Trailer,World of Warcraft,2012-08-16T12:47:44Z,YouTube
World of Warcraft,WORLD OF WARCRAFT Full Movie 2024: Dragon | Superhero FXL Action Movies 2024 in English (Game Movie),Superhero FXL Games,2024-06-23T13:00:00Z,YouTube
World of Warcraft,World of Warcraft: Shadowlands Cinematic Trailer,World of Warcraft,2019-11-01T18:42:14Z,YouTube
World of Warcraft,Asmongold checks out... something. #asmongold #shorts,Asmongold Shorts,2022-09-13T17:00:51Z,YouTube
World of Warcraft,World of Warcraft: Legion Cinematic Trailer,World of Warcraft,2015-11-06T20:15:17Z,YouTube
World of Warcraft,World of Warcraft en 1 minuto,elrubiusOMG,2012-05-30T16:41:10Z,YouTube
World of Warcraft,The Elder Scrolls Online: High Isle Launch Cinematic,Bethesda Softworks,2022-06-07T01:07:45Z,YouTube
World of Warcraft,Story of Gaming&#39;s Biggest Troll 🤬,Bundun,2024-11-19T13:01:04Z,YouTube
World of Warcraft,World of Warcraft: The Burning Crusade Cinematic Trailer,World of Warcraft,2010-01-23T02:18:50Z,YouTube
World of Warcraft,Fall of the Lich King Ending,World of Warcraft,2011-05-06T23:44:27Z,YouTube
World of Warcraft,World of Warcraft - The Banshee Queen,Bad Juice,2020-01-16T23:36:19Z,YouTube
World of Warcraft,The War Within Announce Cinematic | World of Warcraft,World of Warcraft,2023-11-03T19:44:41Z,YouTube
World of Warcraft,World of Warcraft Cinematic Trailer,World of Warcraft,2010-01-23T01:49:07Z,YouTube
World of Warcraft,Warbringers: Azshara,World of Warcraft,2018-08-24T17:00:05Z,YouTube
World of Warcraft,World of Warcraft: Warlords of Draenor Announcement Trailer,World of Warcraft,2013-11-08T19:55:44Z,YouTube
World of Warcraft,Midnight Gameplay Reveal | World of Warcraft,World of Warcraft,2025-08-19T19:49:20Z,YouTube
World of Warcraft,Asmongold meets that which has no life #shorts,Asmongold Shorts,2022-09-15T17:45:27Z,YouTube
World of Warcraft,The Gaming Clip That Ruined His Life 😪 (Leeroy Jenkins),Bundun,2025-02-11T13:00:55Z,YouTube
World of Warcraft,Tráiler cinemático de World of Warcraft: Battle for Azeroth,World of Warcraft LatAm,2017-11-03T19:11:28Z,YouTube
World of Warcraft,World of Warcraft: Legion – Feature Overview,World of Warcraft,2015-08-06T16:12:25Z,YouTube
EA Sports FC 26,EA SPORTS FC 25 | Official Reveal Trailer,EA SPORTS FC,2024-07-17T15:57:07Z,YouTube
EA Sports FC 26,FC Mobile Ballon dOr Packs!🧃,StanManTV,2025-10-10T16:50:25Z,YouTube
EA Sports FC 26,Perfect Freekick FC25 ⬇️, FC26Tutorials1,2025-05-28T15:36:43Z,YouTube
EA Sports FC 26,Ronaldo Code 💀 #eafc24 #shorts #eafifa #fifamobile #fifa23 #fcmobile24 #fifa22 #fifa21 #easports,ExAtk,2025-06-11T16:17:42Z,YouTube
EA Sports FC 26,EA SPORTS FC 26 | Official Reveal Trailer,EA SPORTS FC,2025-07-16T15:57:07Z,YouTube
EA Sports FC 26,EA SPORTS FC 24 | Official Gameplay Trailer,EA SPORTS FC,2023-07-13T17:07:10Z,YouTube
EA Sports FC 26,FC 26 Goalkeepers GONE WRONG! #108 #fc26,Ranking King,2026-04-10T12:00:11Z,YouTube
EA Sports FC 26,Ronaldo Prime 💀 #eafc24 #shorts #eafifa #fifamobile #fifa23 #fcmobile24 #fifa22 #fifa21 #easports,ExAtk,2025-06-30T16:15:47Z,YouTube
EA Sports FC 26,How to Cross ⬇️,FC26 Tutorials,2025-03-19T19:22:12Z,YouTube
EA Sports FC 26,FIFA Ball Deformation Evolution: 20 Years of Physics! (FIFA 04 - FC 26),awesomePCgames,2025-08-08T20:39:58Z,YouTube
EA Sports FC 26,FC 26 Noob vs Casual vs Pro Long Shooting,FC26 Tutorials,2026-02-09T19:39:44Z,YouTube
EA Sports FC 26,Quick GOAL TUTORIAL in 15s🤩🔥#youtube #shorts #fifamobile #fifa,Tarko YT,2023-02-18T02:00:07Z,YouTube
EA Sports FC 26,FC 26 + PS5 Pro + OLED 83″ = Pure happiness 🎮✨#fc26 #ps5 #gamingsetup #goodvibes #happiness,Andreas Home,2025-10-22T01:10:29Z,YouTube
EA Sports FC 26,Dribbling Skills FC25 ⬇️,FC26 Tutorials,2025-03-09T17:52:56Z,YouTube
EA Sports FC 26,EA SPORTS FC 26 | Official Gameplay Deep Dive,EA SPORTS FC,2025-07-22T15:57:08Z,YouTube
EA Sports FC 26,NEW Secret Skill Move in FC 26 😱🔥,FC PowerPlay,2025-10-15T18:30:23Z,YouTube
EA Sports FC 26,EA Sports please put Diogo Jota on the FC 26 cover. 🥹🙏,FutVibes,2025-07-06T13:01:36Z,YouTube
EA Sports FC 26,Ea Fc 26 Vs 25 Trailer 🤯,Ronnyfx,2025-07-26T13:54:07Z,YouTube
EA Sports FC 26,Testing EA SPORTS FC 26 First Look Gameplay | PS5 #easportsfc25 #easportfc #efootball #efootball2025,Med-San,2025-02-07T10:31:00Z,YouTube
EA Sports FC 26,3 celebrations we want in FC 26 🙏,Jacko Ginco,2025-08-09T11:27:26Z,YouTube
EA Sports FC 26,stop every goal in H2H (Tutorial) #fifamobile,Rman plays,2023-07-30T10:50:23Z,YouTube
EA Sports FC 26,EA SPORTS FC 26 | Official Career Deep Dive,EA SPORTS FC,2025-08-01T15:57:07Z,YouTube
EA Sports FC 26,WHAT IS THIS TEAM!?! 😨,AuzioMF,2025-09-23T14:30:50Z,YouTube
EA Sports FC 26,Repeat or Redemption? | Obrun v Vejrgang | FC Pro Open Final | Full Match,EA SPORTS FC Pro,2025-02-01T21:54:18Z,YouTube
EA Sports FC 26,🔥 Ballon d’or special best card 😱 #fcmobile #viral #ea #fc26,Mavrixon,2025-10-08T11:33:01Z,YouTube
Call of Duty Warzone,Swagg steals Nadia&#39;s hacks for Warzone 2,Swagg,2022-11-21T03:40:56Z,YouTube
Call of Duty Warzone,Call of Duty: Black Ops 7 | Gameplay Reveal Trailer,Call of Duty,2025-08-19T18:08:38Z,YouTube
Call of Duty Warzone,Bronny steals Swagg&#39;s hacks,Swagg,2023-06-16T02:51:25Z,YouTube
Call of Duty Warzone,I Faced Nadia 1v1 for the Win 😳,TCaptainX,2022-10-17T18:25:49Z,YouTube
Call of Duty Warzone,WHEN YOU PULL OFF THE SELF REVIVE - CALL OF DUTY WARZONE REBIRTH ISLAND,Goal Post68,2024-07-28T16:55:05Z,YouTube
Call of Duty Warzone,Helping out enemies with camo challenges in Call of Duty,Wacke,2021-02-23T19:09:03Z,YouTube
Call of Duty Warzone,Real vs Fake COD *CHALLENGE* 😱,FaZe Blaze,2022-08-30T18:00:03Z,YouTube
Call of Duty Warzone,Warzone Stim Shot in Real Life 😱,Wacke,2022-08-10T01:14:19Z,YouTube
Call of Duty Warzone,New FORTUNES KEEP map IS COMING! When Rebirth Island?,LiterallyRay,2022-08-28T01:00:09Z,YouTube
Call of Duty Warzone,Who Has The Dirtiest Setup in Nuke Squad?,Nuke Squad,2023-05-30T03:26:17Z,YouTube
